Reference, Value, Footprint, Datasheet, MFG Name, MFG Part Num, Distrib PN, Distrib Link, Tolerance, Others
FB1606,BLM18KG601SZ1D,dvk-mx8m-bsb:FER-0603,https://www.murata.com/en-us/products/productdata/8796750610462/QNFA9122.pdf,Murata,BLM18KG601SZ1D,490-14398-1-ND,https://www.digikey.com/product-detail/en/murata-electronics-north-america/BLM18KG601SZ1D/490-14398-1-ND/6606859,25%,https://www.digikey.com/products/en/filters/ferrite-beads-and-chips/841?FV=5400b6%2C540058%2C1e0c000a%2C1e0c000d%2C1e0c000e%2C1e0c000f%2C1e0c0010%2C1e0c0013%2C1e0c0002%2C1e0c0016%2C1e0c00e6%2C1e0c0003%2C1e0c0022%2C1e0c003a%2C1e0c003e%2C1e0c0007%2C1e100066%2C1e10000b%2C1e100075%2C1e10000d%2C1e100002%2C1e100014%2C1e100015%2C1e10001e%2C1e100024%2C1e100008%2C1e100009%2C1f140000%2Cmu600+Ohms+%40+100MHz%7C2280%2Cffe00349%2C400005&quantity=&ColumnSort=1000011&page=1&pageSize=500
FB1607,BLM18KG601SZ1D,dvk-mx8m-bsb:FER-0603,https://www.murata.com/en-us/products/productdata/8796750610462/QNFA9122.pdf,Murata,BLM18KG601SZ1D,490-14398-1-ND,https://www.digikey.com/product-detail/en/murata-electronics-north-america/BLM18KG601SZ1D/490-14398-1-ND/6606859,25%,https://www.digikey.com/products/en/filters/ferrite-beads-and-chips/841?FV=5400b6%2C540058%2C1e0c000a%2C1e0c000d%2C1e0c000e%2C1e0c000f%2C1e0c0010%2C1e0c0013%2C1e0c0002%2C1e0c0016%2C1e0c00e6%2C1e0c0003%2C1e0c0022%2C1e0c003a%2C1e0c003e%2C1e0c0007%2C1e100066%2C1e10000b%2C1e100075%2C1e10000d%2C1e100002%2C1e100014%2C1e100015%2C1e10001e%2C1e100024%2C1e100008%2C1e100009%2C1f140000%2Cmu600+Ohms+%40+100MHz%7C2280%2Cffe00349%2C400005&quantity=&ColumnSort=1000011&page=1&pageSize=500
FB1608,BLM18KG601SZ1D,dvk-mx8m-bsb:FER-0603,https://www.murata.com/en-us/products/productdata/8796750610462/QNFA9122.pdf,Murata,BLM18KG601SZ1D,490-14398-1-ND,https://www.digikey.com/product-detail/en/murata-electronics-north-america/BLM18KG601SZ1D/490-14398-1-ND/6606859,25%,https://www.digikey.com/products/en/filters/ferrite-beads-and-chips/841?FV=5400b6%2C540058%2C1e0c000a%2C1e0c000d%2C1e0c000e%2C1e0c000f%2C1e0c0010%2C1e0c0013%2C1e0c0002%2C1e0c0016%2C1e0c00e6%2C1e0c0003%2C1e0c0022%2C1e0c003a%2C1e0c003e%2C1e0c0007%2C1e100066%2C1e10000b%2C1e100075%2C1e10000d%2C1e100002%2C1e100014%2C1e100015%2C1e10001e%2C1e100024%2C1e100008%2C1e100009%2C1f140000%2Cmu600+Ohms+%40+100MHz%7C2280%2Cffe00349%2C400005&quantity=&ColumnSort=1000011&page=1&pageSize=500
FB1604,BLM18KG601SZ1D,dvk-mx8m-bsb:FER-0603,https://www.murata.com/en-us/products/productdata/8796750610462/QNFA9122.pdf,Murata,BLM18KG601SZ1D,490-14398-1-ND,https://www.digikey.com/product-detail/en/murata-electronics-north-america/BLM18KG601SZ1D/490-14398-1-ND/6606859,25%,https://www.digikey.com/products/en/filters/ferrite-beads-and-chips/841?FV=5400b6%2C540058%2C1e0c000a%2C1e0c000d%2C1e0c000e%2C1e0c000f%2C1e0c0010%2C1e0c0013%2C1e0c0002%2C1e0c0016%2C1e0c00e6%2C1e0c0003%2C1e0c0022%2C1e0c003a%2C1e0c003e%2C1e0c0007%2C1e100066%2C1e10000b%2C1e100075%2C1e10000d%2C1e100002%2C1e100014%2C1e100015%2C1e10001e%2C1e100024%2C1e100008%2C1e100009%2C1f140000%2Cmu600+Ohms+%40+100MHz%7C2280%2Cffe00349%2C400005&quantity=&ColumnSort=1000011&page=1&pageSize=500
FB1605,BLM18KG601SZ1D,dvk-mx8m-bsb:FER-0603,https://www.murata.com/en-us/products/productdata/8796750610462/QNFA9122.pdf,Murata,BLM18KG601SZ1D,490-14398-1-ND,https://www.digikey.com/product-detail/en/murata-electronics-north-america/BLM18KG601SZ1D/490-14398-1-ND/6606859,25%,https://www.digikey.com/products/en/filters/ferrite-beads-and-chips/841?FV=5400b6%2C540058%2C1e0c000a%2C1e0c000d%2C1e0c000e%2C1e0c000f%2C1e0c0010%2C1e0c0013%2C1e0c0002%2C1e0c0016%2C1e0c00e6%2C1e0c0003%2C1e0c0022%2C1e0c003a%2C1e0c003e%2C1e0c0007%2C1e100066%2C1e10000b%2C1e100075%2C1e10000d%2C1e100002%2C1e100014%2C1e100015%2C1e10001e%2C1e100024%2C1e100008%2C1e100009%2C1f140000%2Cmu600+Ohms+%40+100MHz%7C2280%2Cffe00349%2C400005&quantity=&ColumnSort=1000011&page=1&pageSize=500
FB601,BLM18PG121SN1D,dvk-mx8m-bsb:FER-0603,https://www.murata.com/en-us/products/productdata/8796738650142/ENFA0003.pdf,Murata,BLM18PG121SN1D,490-1037-1-ND,https://www.digikey.com/product-detail/en/murata-electronics-north-america/BLM18PG121SN1D/490-1037-1-ND/584485,25%,https://octopart.com/search?q=BLM18PG121SN1D&start=0
FB1601,BLM18PG121SN1D,dvk-mx8m-bsb:FER-0603,https://www.murata.com/en-us/products/productdata/8796738650142/ENFA0003.pdf,Murata,BLM18PG121SN1D,490-1037-1-ND,https://www.digikey.com/product-detail/en/murata-electronics-north-america/BLM18PG121SN1D/490-1037-1-ND/584485,25%,https://octopart.com/search?q=BLM18PG121SN1D&start=0
FB1602,BLM18PG121SN1D,dvk-mx8m-bsb:FER-0603,https://www.murata.com/en-us/products/productdata/8796738650142/ENFA0003.pdf,Murata,BLM18PG121SN1D,490-1037-1-ND,https://www.digikey.com/product-detail/en/murata-electronics-north-america/BLM18PG121SN1D/490-1037-1-ND/584485,25%,https://octopart.com/search?q=BLM18PG121SN1D&start=0
FB1603,BLM18PG121SN1D,dvk-mx8m-bsb:FER-0603,https://www.murata.com/en-us/products/productdata/8796738650142/ENFA0003.pdf,Murata,BLM18PG121SN1D,490-1037-1-ND,https://www.digikey.com/product-detail/en/murata-electronics-north-america/BLM18PG121SN1D/490-1037-1-ND/584485,25%,https://octopart.com/search?q=BLM18PG121SN1D&start=0
FB1701,BLM18PG121SN1D,dvk-mx8m-bsb:FER-0603,https://www.murata.com/en-us/products/productdata/8796738650142/ENFA0003.pdf,Murata,BLM18PG121SN1D,490-1037-1-ND,https://www.digikey.com/product-detail/en/murata-electronics-north-america/BLM18PG121SN1D/490-1037-1-ND/584485,25%,https://octopart.com/search?q=BLM18PG121SN1D&start=0
FB1702,BLM18PG121SN1D,dvk-mx8m-bsb:FER-0603,https://www.murata.com/en-us/products/productdata/8796738650142/ENFA0003.pdf,Murata,BLM18PG121SN1D,490-1037-1-ND,https://www.digikey.com/product-detail/en/murata-electronics-north-america/BLM18PG121SN1D/490-1037-1-ND/584485,25%,https://octopart.com/search?q=BLM18PG121SN1D&start=0
FB1703,BLM18PG121SN1D,dvk-mx8m-bsb:FER-0603,https://www.murata.com/en-us/products/productdata/8796738650142/ENFA0003.pdf,Murata,BLM18PG121SN1D,490-1037-1-ND,https://www.digikey.com/product-detail/en/murata-electronics-north-america/BLM18PG121SN1D/490-1037-1-ND/584485,25%,https://octopart.com/search?q=BLM18PG121SN1D&start=0
FB2001,BLM18PG121SN1D,dvk-mx8m-bsb:FER-0603,https://www.murata.com/en-us/products/productdata/8796738650142/ENFA0003.pdf,Murata,BLM18PG121SN1D,490-1037-1-ND,https://www.digikey.com/product-detail/en/murata-electronics-north-america/BLM18PG121SN1D/490-1037-1-ND/584485,25%,https://octopart.com/search?q=BLM18PG121SN1D&start=0
FB2002,BLM18PG121SN1D,dvk-mx8m-bsb:FER-0603,https://www.murata.com/en-us/products/productdata/8796738650142/ENFA0003.pdf,Murata,BLM18PG121SN1D,490-1037-1-ND,https://www.digikey.com/product-detail/en/murata-electronics-north-america/BLM18PG121SN1D/490-1037-1-ND/584485,25%,https://octopart.com/search?q=BLM18PG121SN1D&start=0
FB2301,BLM18PG121SN1D,dvk-mx8m-bsb:FER-0603,https://www.murata.com/en-us/products/productdata/8796738650142/ENFA0003.pdf,Murata,BLM18PG121SN1D,490-1037-1-ND,https://www.digikey.com/product-detail/en/murata-electronics-north-america/BLM18PG121SN1D/490-1037-1-ND/584485,25%,https://octopart.com/search?q=BLM18PG121SN1D&start=0
FB301,HI1206T500R,dvk-mx8m-bsb:FER-1206,http://assets.lairdtech.com/home/brandworld/files/HI1206T500R-10.pdf,Laird,HI1206T500R-10,875-HI1206T500R-10,https://www.mouser.com/ProductDetail/Laird/HI1206T500R-10?qs=%2fha2pyFadugcmOq%2fcv7OLZeM%2fc1By05gbf2XwEMDzV4zBFQuJrblng%3d%3d,38Ω-63Ω,https://www.digikey.com/products/en/filters/ferrite-beads-and-chips/841?FV=400005%2C400006%2C400007%2C4002ca%2C400008%2C5400dc%2C540040%2C1140003%2C1e0c000b%2C1e0c0014%2C1e0c0019%2C1e0c001a%2C1e0c001b%2C1e0c001c%2C1e0c001d%2C1e0c001e%2C1e0c001f%2C1e0c0020%2C1e0c0023%2C1e0c0024%2C1e0c0025%2C1e0c0027%2C1e0c0028%2C1e0c0029%2C1e0c002a%2C1e0c0043%2C1e0c005f%2C1e0c0060%2C1e0c0061%2C1e100070%2C1e10009c%2C1e10009d%2C1e10001f%2C1e100020%2C1e100029%2C1e10002b%2C1e100031%2C1e100052%2C1f140000%2Cffe00349%2Cmu120+Ohms+%40+100MHz%7C2280%2Cmu50+Ohms+%40+100MHz%7C2280%2Cmu80+Ohms+%40+100MHz%7C2280&quantity=&ColumnSort=1000011&page=1&pageSize=500
